              Maximum Pseudo-likelihood Estimation of Species Trees (MPEST_1.5)  

                                     by

                                  Liang Liu

                          Department of Statistics
                            University of Georgia
                                 lliu@uga.edu

                 Distributed under the GNU General Public License

	round 1000 		loglike -100922.170697 	....completed....
	round 2000 		loglike -97826.261362 	....completed....
	round 3000 		loglike -95794.020491 	....completed....
	round 4000 		loglike -94824.821639 	....completed....
	round 5000 		loglike -94462.203066 	....completed....
	round 6000 		loglike -93395.775859 	....completed....
	round 7000 		loglike -92711.962296 	....completed....
	round 8000 		loglike -92558.928240 	....completed....
	round 9000 		loglike -91910.856195 	....completed....
	round 10000 		loglike -91357.585450 	....completed....
	round 11000 		loglike -90844.552525 	....completed....
	round 12000 		loglike -90661.336821 	....completed....
	round 13000 		loglike -90506.594783 	....completed....
	round 14000 		loglike -90416.292212 	....completed....
	round 15000 		loglike -90328.377524 	....completed....
	round 16000 		loglike -90289.829196 	....completed....
	round 17000 		loglike -90212.875361 	....completed....
	round 18000 		loglike -90193.166654 	....completed....
	round 19000 		loglike -90090.936581 	....completed....
	round 20000 		loglike -90041.422992 	....completed....
	round 21000 		loglike -90017.523574 	....completed....
	round 22000 		loglike -89998.226611 	....completed....
	round 23000 		loglike -89954.191860 	....completed....
	round 24000 		loglike -89929.230885 	....completed....
	round 25000 		loglike -89893.143784 	....completed....
	round 26000 		loglike -89875.454342 	....completed....
	round 27000 		loglike -89872.162630 	....completed....
	round 28000 		loglike -89859.257382 	....completed....
	round 29000 		loglike -89851.752955 	....completed....
	round 30000 		loglike -89850.572370 	....completed....
	round 31000 		loglike -89841.687924 	....completed....
	round 32000 		loglike -89836.566188 	....completed....
	round 33000 		loglike -89823.958841 	....completed....
	round 34000 		loglike -89813.723023 	....completed....
	round 35000 		loglike -89808.755306 	....completed....
	round 36000 		loglike -89801.906136 	....completed....
	round 37000 		loglike -89798.623621 	....completed....
	round 38000 		loglike -89793.855979 	....completed....
	round 39000 		loglike -89790.472983 	....completed....
	round 40000 		loglike -89788.702293 	....completed....
	round 41000 		loglike -89786.358675 	....completed....
	round 42000 		loglike -89782.393237 	....completed....
	round 43000 		loglike -89782.244166 	....completed....
	round 44000 		loglike -89782.243601 	....completed....
	round 45000 		loglike -89782.243601 	....completed....
	round 46000 		loglike -89782.243601 	....completed....
	round 47000 		loglike -89782.243601 	....completed....
	round 48000 		loglike -89782.243601 	....completed....
	round 49000 		loglike -89782.243601 	....completed....
	round 50000 		loglike -89782.233528 	....completed....
	round 51000 		loglike -89782.233371 	....completed....
	round 52000 		loglike -89782.233331 	....completed....
	round 53000 		loglike -89782.233331 	....completed....
	round 54000 		loglike -89782.233299 	....completed....
	round 55000 		loglike -89782.232910 	....completed....
	round 56000 		loglike -89782.230404 	....completed....
	round 57000 		loglike -89782.230404 	....completed....
	round 58000 		loglike -89782.230404 	....completed....
	round 59000 		loglike -89782.230404 	....completed....
	round 60000 		loglike -89782.230404 	....completed....
	round 61000 		loglike -89782.230404 	....completed....
	round 62000 		loglike -89782.230395 	....completed....
	round 63000 		loglike -89782.230339 	....completed....
	round 64000 		loglike -89782.230339 	....completed....
	round 65000 		loglike -89782.230339 	....completed....
	round 66000 		loglike -89782.228507 	....completed....
	round 67000 		loglike -89782.228507 	....completed....
	round 68000 		loglike -89782.228493 	....completed....
	round 69000 		loglike -89782.228493 	....completed....
	round 70000 		loglike -89782.228426 	....completed....
	round 71000 		loglike -89782.228426 	....completed....
	round 72000 		loglike -89782.228426 	....completed....
	round 73000 		loglike -89782.228318 	....completed....
	round 74000 		loglike -89782.228318 	....completed....
	round 75000 		loglike -89782.228318 	....completed....
	round 76000 		loglike -89782.228318 	....completed....
	round 77000 		loglike -89782.228318 	....completed....
	round 78000 		loglike -89782.228318 	....completed....
	round 79000 		loglike -89782.228224 	....completed....
	round 80000 		loglike -89782.228224 	....completed....
	round 81000 		loglike -89782.228224 	....completed....
	round 82000 		loglike -89782.228224 	....completed....
	round 83000 		loglike -89782.228224 	....completed....
	round 84000 		loglike -89782.228224 	....completed....
	round 85000 		loglike -89782.228224 	....completed....
	round 86000 		loglike -89782.228224 	....completed....
	round 87000 		loglike -89782.228224 	....completed....
	round 88000 		loglike -89782.228224 	....completed....
	round 89000 		loglike -89782.227923 	....completed....
	round 90000 		loglike -89782.227923 	....completed....
	round 91000 		loglike -89782.227923 	....completed....
	round 92000 		loglike -89782.227923 	....completed....
	round 93000 		loglike -89782.227923 	....completed....
	round 94000 		loglike -89782.227923 	....completed....
	round 95000 		loglike -89782.227777 	....completed....
	round 96000 		loglike -89782.227777 	....completed....
	round 97000 		loglike -89782.227777 	....completed....
	round 98000 		loglike -89782.227461 	....completed....
	round 99000 		loglike -89782.227461 	....completed....
	round 100000 		loglike -89782.227461 	....completed....
	round 101000 		loglike -89782.227461 	....completed....
	round 102000 		loglike -89782.227461 	....completed....
	round 103000 		loglike -89782.226700 	....completed....
	round 104000 		loglike -89782.226700 	....completed....
	round 105000 		loglike -89782.226700 	....completed....
	round 106000 		loglike -89782.226692 	....completed....
	round 107000 		loglike -89782.226692 	....completed....
	round 108000 		loglike -89782.226692 	....completed....
	round 109000 		loglike -89782.226692 	....completed....
	round 110000 		loglike -89782.226692 	....completed....
	round 111000 		loglike -89782.226692 	....completed....
	round 112000 		loglike -89782.226583 	....completed....
	round 113000 		loglike -89782.226352 	....completed....
	round 114000 		loglike -89782.226352 	....completed....
	round 115000 		loglike -89782.226352 	....completed....
	round 116000 		loglike -89782.226352 	....completed....
	round 117000 		loglike -89782.226302 	....completed....
	round 118000 		loglike -89782.226302 	....completed....
	round 119000 		loglike -89782.226302 	....completed....
	round 120000 		loglike -89782.226295 	....completed....
	round 121000 		loglike -89782.226295 	....completed....
	round 122000 		loglike -89782.226295 	....completed....
	round 123000 		loglike -89782.226295 	....completed....
	round 124000 		loglike -89782.226295 	....completed....
	round 125000 		loglike -89782.226295 	....completed....
	round 126000 		loglike -89782.226295 	....completed....
	round 127000 		loglike -89782.226234 	....completed....
	round 128000 		loglike -89782.226228 	....completed....
	round 129000 		loglike -89782.226170 	....completed....
	round 130000 		loglike -89782.226170 	....completed....
	round 131000 		loglike -89782.226170 	....completed....
	round 132000 		loglike -89782.226170 	....completed....
	round 133000 		loglike -89782.226170 	....completed....
	round 134000 		loglike -89782.226170 	....completed....
	round 135000 		loglike -89782.226155 	....completed....
	round 136000 		loglike -89782.226155 	....completed....
	round 137000 		loglike -89782.226155 	....completed....
	round 138000 		loglike -89782.226155 	....completed....
	round 139000 		loglike -89782.226155 	....completed....
	round 140000 		loglike -89782.226138 	....completed....
	round 141000 		loglike -89782.226138 	....completed....
	round 142000 		loglike -89782.226138 	....completed....
	round 143000 		loglike -89782.226138 	....completed....
